11/08/2024,Buffet pizzas,Restaurantes,11.16,Ingresos
13/08/2024,Ladekaia,Restaurantes,4.85,Ingresos
13/08/2024,Barbacoa,Comida,13.01,Ingresos
14/08/2024,Yogures,Comida,1.71,Ingresos
14/08/2024,Mormors,Ocio,4.59,Ingresos
14/08/2024,Kiwis,Comida,1.86,Ingresos
14/08/2024,Tortilla,Comida,1.76,Ingresos
14/08/2024,Crepes,Comida,2.99,Ingresos
15/08/2024,Platanos,Comida,0.59,Ingresos
15/08/2024,Extra,Comida,10.91,Ingresos
15/08/2024,Estudio 26,Ocio,50,Ingresos
15/08/2024,Cerveza,Ocio,4.77,Ingresos
15/08/2024,Cerveza,Ocio,5.02,Ingresos
15/08/2024,Cerveza y copa Lucia,Ocio,18.62,Ingresos
16/08/2024,Rema,Comida,11.02,Ingresos
16/08/2024,Downtown,Ocio,6.88,Ingresos
16/08/2024,Breezer,Ocio,8.51,Ingresos
16/08/2024,Kebab,Restaurantes,17.97,Ingresos
16/08/2024,Uber,Transporte,17.62,Ingresos
17/08/2024,Peluquero,Hogar,21.49,Ingresos
17/08/2024,Comida vegana,Comida,3.44,Ingresos
17/08/2024,Agua,Comida,1.8,Ingresos
18/08/2024,Rema,Hogar,3.3,Ingresos
18/08/2024,Bolos,Ocio,8.17,Ingresos
18/08/2024,Burger king,Restaurantes,11.95,Ingresos
18/08/2024,Billar,Ocio,1.7,Ingresos
19/08/2024,Meny,Comida,7.27,Ingresos
19/08/2024,Extra,Comida,2.18,Ingresos
20/08/2024,Agua,Comida,3,Ingresos
20/08/2024,Meny,Comida,14.54,Ingresos
21/08/2024,Meny,Comida,7.03,Ingresos
21/08/2024,Snack carne,Caprichos,2.66,Ingresos
21/08/2024,Helado,Dulces,4.4,Ingresos
21/08/2024,Patinete,Transporte,2.79,Ingresos
22/08/2024,Sabrura Solsiden,Restaurantes,19.52,Ingresos
22/08/2024,Prime,Caprichos,1.2,Ingresos
22/08/2024,Pirbadet,Ocio,14.48,Ingresos
22/08/2024,Extra,Comida,15.81,Ingresos
22/08/2024,Patinete,Transporte,2.39,Ingresos
23/08/2024,Platanos,Comida,0.84,Ingresos
23/08/2024,Camiseta blanca,Caprichos,7.95,Ingresos
23/08/2024,Permanente,Caprichos,5.13,Ingresos
23/08/2024,Champu y gel,Viajes,3.17,Ingresos
23/08/2024,Tonica,Ocio,3.56,Ingresos
23/08/2024,Estudio 26,Ocio,4.32,Ingresos
23/08/2024,Cerveza,Ocio,5.19,Ingresos
23/08/2024,Ronda,Ocio,18.77,Ingresos
23/08/2024,Cerveza,Ocio,5.1,Ingresos
24/08/2024,Ensalada cesar,Viajes,14.97,Ahorros
